OptionName,Sharpe_Long,Sharpe_Short,PoP_Long,PoP_Short,VaR_Long,VaR_Short,CVaR_Long,CVaR_Short,Payout_Long,Payout_Short,Premium_Efficiency_Long,Premium_Efficiency_Short,Breakeven_Long,Breakeven_Short,Breakeven_Long_Pct,Breakeven_Short_Pct,MarketScenario,UserMarketView
اختيارخ فصبا-2000-14031114,-24.500831364853415,-26.670801936803112,0.0,0.0,-940697.4499985011,-1017857.8856427665,-979725.8758781686,-1056159.4491219383,-0.20362165943819333,-0.38723969001088904,2.57201646090535e-07,2232000,6122.5879487099255,4400.610088135259,24.89979495532284,-10.228272375861714,Bearish Market,neutral
اختيارخ خاور-1400-14031009,-578.5264156817749,-162.7062935708613,0.0,0.0,-704421.7200014334,-206345.46783052315,-707427.7816149702,-209458.67710455498,-0.7700227107001101,-16.24829669749174,1.111111111111111e-06,12000,2321.5883584605754,1425.2533748462313,45.82841447616679,-10.474034243327178,Bearish Market,neutral
اختيارخ بساما-4996-14031205,-13.434797258053099,-18.066849128045575,0.0,0.0,-3011484.968149617,-3849873.845520024,-3184901.028776887,-4027064.0202512518,-0.4076890973757202,-13.215461662982715,1.7346655564807105e-07,240200,7829.067605179857,5394.392714439772,29.192534738941546,-10.983618573601117,Bearish Market,neutral
اختيارخ خپارس-550-14031009,-672.3417079921612,-523.4365771046972,0.0,0.0,-495852.5712346157,-387747.98903821636,-497771.08954562666,-389759.78704038437,-0.5433944836865805,-12.698165489402585,1.111111111111111e-06,30000,1463.6100520729713,585.4440208291885,53.74055168833731,-38.503779324665075,Bearish Market,neutral
اختيارخ كاريس-22000-14031212,-4.848909492380938,0.9160072099423673,1.82,67.58,-3527013.512786541,-1147107.5386765217,-3894095.799547973,-1560099.147419298,-0.17268339664875626,0.04031274011255725,8.620689655172414e-08,10000000,35779.509958940085,34075.72377041913,20.619997838856776,14.876188417958836,Bearish Market,neutral
اختيارخ خاور-1900-14031009,,,0.0,100.0,-400000.0,5000.0,-400000.0,5000.0,-1.0,1.0,2.5e-06,5000,2321.5883584605754,1922.8807925510416,45.82841447616679,20.783969381346836,Bearish Market,neutral
اختيارخ كاريس-24000-14031212,-6.328646334619246,0.6227879208743706,0.4,62.150000000000006,-4111312.164227345,-1269736.8256329433,-4496336.963338748,-1680956.0812482662,-0.2564058950478799,0.03503055082549299,9.80392156862745e-08,7860000,36418.429779635444,33926.642478923546,22.77392637169351,14.37360509363026,Bearish Market,neutral
اختيارخ بساما-4996-14040207,0.14244525729465402,-0.39209723658424694,52.959999999999994,42.41,-1256447.659558749,-1612090.0492528689,-1577887.7040933575,-1999269.3140148253,0.020695972998441847,-0.0447123488336993,2.3926421468699457e-07,4083400,7522.339820013202,7477.670343647328,24.13102013223105,23.393900060186933,Bearish Market,neutral
اختيارخ خاور-1700-14031009,,,0.0,100.0,-600000.0,3000.0,-600000.0,3000.0,-1.0,1.0,1.6666666666666667e-06,3000,2321.5883584605754,1718.9847715036346,45.82841447616679,7.976430370831311,Bearish Market,neutral
اختيارخ موج-14000-14031219,-9.001904989060808,-15.1977047762901,0.0,0.0,-4086217.6716319043,-6214032.617232413,-4337072.243688772,-6523265.643652258,-0.2687253070874245,-1.6644655919305502,9.090909090909091e-08,3019000,26780.401841015377,18231.02635728963,30.166238169609105,-11.388031703656898,Bearish Market,neutral
اختيارخ خاور-1800-14031009,,,0.0,100.0,-400000.0,12000.0,-400000.0,12000.0,-1.0,1.0,2.5e-06,12000,2220.6497341796808,1829.0078719698097,39.488048629376934,14.887429143832275,Bearish Market,neutral
اختيارخ موج-20000-14031219,-26.91787501875351,4.634787046592478,0.0,98.3,-10097696.570098622,364375.6173112082,-10375709.082794307,50099.479027886046,-0.8139905882226415,0.4316379084580714,9.090909090909091e-08,3600000,33207.69828285907,25280.699337918515,61.406135330315294,22.876928832110988,Bearish Market,neutral
اختيارخ فصبا-4000-14031114,-4.731778808225151,-8.275712388874028,5.19,0.13999999999999999,-300444.58864331816,-421063.04473255575,-337107.5692983968,-459549.75536996603,-0.1217304433929018,-0.3226951153721358,8e-07,830000,5459.16894203925,5022.435426676111,11.3661554883568,2.4568630492882715,Bearish Market,neutral
اختيارخ رويين-11000-14031030,-6.0270703157082295,-6.335329226095394,3.84,3.06,-571501.7344278874,-587477.7522845062,-644156.6455500255,-666147.0982411447,-0.12760298427961983,-0.1821207673793879,4.288164665523156e-07,1721000,13699.306931835143,13071.473408331447,7.987599967169667,3.0385732960069856,Bearish Market,neutral
اختيارخ رويين-11000-14031226,-0.37575484414156246,-0.6953088261400057,42.76,37.99,-863471.9867433037,-959404.0321172737,-1060465.7825752932,-1176044.125872756,-0.02995150070459001,-0.06322573657328716,3.6363636363636366e-07,2509000,14817.050080261186,14557.34760249079,16.79843985701708,14.751281747523182,Bearish Market,neutral
اختيارخ اطلس-50000-14031002,-85.6239534135023,32.05020409698861,0.0,99.88,-950321.217800583,151928.0952278176,-994030.592250374,110953.12958983383,-0.12707161669917938,0.05181916986290172,1.5873015873015874e-07,5800000,56491.591011421995,55989.88949267047,2.136306294380752,1.229234302423543,Bearish Market,neutral
اختيارخ نارنج-9000-14031114,-34.19414931352258,-60.42610882604552,0.0,0.0,-3678907.5932062883,-6189224.273911269,-3788138.3565060142,-6311523.696112762,-0.3600567915268871,-442.0376058660013,1.1111111111111111e-07,13000,18717.150658420287,9372.093271352336,31.857348773654714,-33.976095305724996,Bearish Market,neutral
اختيارخ فزر-38000-14031212,-9.626861227469329,1.7234851909348292,0.0,77.71000000000001,-6806870.0840006685,-1000434.8891929771,-6968181.28399197,-1482779.0823781418,-0.6975401844875214,0.29426043047088307,1.4285714285714285e-07,3000000,47918.9865521519,43659.52108084951,27.27486468035034,15.961543375430299,Bearish Market,neutral
اختيارخ موج-12000-14031219,-5.673807352439574,-4.630423443860422,0.61,1.28,-3008371.902624485,-2709002.1988465786,-3292715.9190250468,-3052042.484116991,-0.15719812756108703,-0.17992262141447815,8.403361344537815e-08,8500000,25602.0641600107,21959.92950963261,24.438923690146307,6.736315299079476,Bearish Market,neutral
