OptionName,DRX,DRY
اختيارخ خگستر-4000-1403/10/05,3747151.9284850685,-69328.96916911188
اختيارخ خودرو-2600-1403/10/05,3954160.9561085384,-76394.49792186686
اختيارخ خودرو-1700-1403/11/03,3493381.4958590628,-37860.85656426662
اختيارخ خودرو-3000-1403/11/03,3463450.3662751783,-39331.98776317554
اختيارخ خودرو-2400-1403/12/01,3211305.3402601625,-1637.0464292866236
اختيارخ شپنا-4500-1403/10/12,4037434.611689557,-101902.09607200563
اختيارخ سرو-12000-1403/10/19,2923040.707176379,102575.01589382402
اختيارخ شتاب-7000-1403/11/17,1103864.7149713733,158983.9612432316
اختيارخ شتاب-6500-1403/12/15,317349.7642900464,265714.454162345
اختيارخ شتاب-9000-1403/12/15,-279205.77958223224,223566.14689915773
اختيارخ خودرو-3250-1403/10/05,3861004.7989388374,-77118.78307892109
اختيارخ خودرو-1800-1403/11/03,3147714.0659942264,-38265.91693988497
اختيارخ خودرو-3500-1403/12/01,3203049.80188685,-103312.49253765312
اختيارخ خودرو-2400-1404/01/06,2641593.3173205964,31029.684403179795
اختيارخ جهش-7000-1403/10/12,2596912.503881151,2652.9926881491992
اختيارخ خودران-7500-03/09/21,3917212.085380088,-90514.3034890861
اختيارخ فملي-7000-1403/11/03,2594938.8388815685,-104340.42194250629
اختيارخ شپنا-3750-1403/10/12,3703212.3498925734,-59998.27593523053
اختيارخ شپنا-3500-1403/12/08,-1047321.1234935811,-32784.87433426756
اختيارخ شپنا-4000-1403/12/08,2850911.127944989,-103907.73398714818
اختيارخ سرو-13000-1403/10/19,2459239.621128941,100997.88498872149
اختيارخ شتاب-10000-1403/10/12,2056317.3945674612,8738.82367273749
اختيارخ شتاب-12000-1403/10/12,2993746.493735383,-103666.30344201929
اختيارخ شتاب-8000-1403/11/17,930879.3504582578,167544.67708980385
اختيارخ جهش-5500-1403/10/12,2832695.836575603,2477.9732652081584
اختيارخ جهش-6500-1403/10/12,2612800.90255107,2046.418605104598
اختيارخ خودران-10000-03/09/21,3958284.270671188,-90453.2450001468
اختيارخ خودران-8000-03/11/28,921117.9330386724,170900.14768438373
اختيارخ خودران-9000-03/11/28,1316257.4799691401,64594.00202134595
اختيارخ فملي-5500-1403/11/03,1987559.1226992263,23141.602736643195
اختيارخ شتاب-6000-1403/10/12,2409295.6989881974,11473.01437336272
اختيارخ شتاب-7000-1403/10/12,2276218.1477971124,9231.862540586459
اختيارخ شتاب-8000-1403/10/12,2127504.3120803344,13556.489453985589
اختيارخ شتاب-13000-1403/10/12,3621656.4184392137,-102605.03866211674
اختيارخ شتاب-10000-1403/11/17,579663.8584094346,76291.71346643133
اختيارخ خساپا-2600-1403/10/26,3626112.9277499635,-55175.084267730876
اختيارخ خساپا-1900-1403/11/24,3219942.6795500736,-25856.912876084563
اختيارخ شستا-1050-1403/10/12,4091320.1640488156,-87975.41998796366
اختيارخ شستا-1150-1403/10/12,4075551.2532460545,-88531.75979989333
اختيارخ شستا-1250-1403/10/12,4051168.5277914545,-94233.19391818496
اختيارخ شستا-750-1403/12/08,3585890.740698467,-61475.406644532326
اختيارخ شستا-1100-1404/01/20,3528318.4565097196,-102762.6692688224
اختيارخ ذوب-300-1403/09/28,4160265.53621611,-99597.66872605403
اختيارخ ذوب-500-1403/11/24,4067133.053981711,-101851.88115596109
اختيارخ خودرو-2800-1404/02/03,2008691.6686961087,-85528.98070281114
اختيارخ جهش-10000-1403/10/12,1953641.502064291,-68236.1480662157
اختيارخ شتاب-5500-1403/10/12,2345120.727114251,11787.144355534867
اختيارخ شتاب-6500-1403/10/12,2272205.9022140405,11484.892159692623
اختيارخ شتاب-9000-1403/10/12,2153026.1686402806,10111.799124436802
اختيارخ خساپا-2000-1403/10/26,3344633.7935189744,-53932.40462849388
اختيارخ خساپا-2800-1403/10/26,3595021.9980882863,-79045.16894616476
اختيارخ خساپا-3750-1403/11/24,4037434.611603856,-101902.08202363017
اختيارخ شستا-850-1403/10/12,4116566.92633871,-88036.96861720824
اختيارخ شستا-650-1403/12/08,3767948.3730514897,-62217.940970374555
اختيارخ شستا-1350-1403/12/08,3920055.053649347,-102100.4932687578
اختيارخ شستا-1450-1403/12/08,4045919.8808784992,-101887.73612075517
اختيارخ شستا-1550-1403/12/08,4038848.823140571,-101899.69028862091
اختيارخ شپنا-3250-1403/12/08,2597604.933659116,16210.101438820406
اختيارخ شتاب-6000-1403/11/17,1304888.2602331527,166229.7836239827
اختيارخ خساپا-2400-1403/10/26,3723118.453306361,-55721.477489650446
اختيارخ خساپا-3000-1403/10/26,3713580.168571337,-102449.5120873199
اختيارخ خساپا-2200-1403/11/24,3246960.74257429,-24281.391517915938
اختيارخ شستا-1650-1403/12/08,4095417.2848018897,-101804.06987220008
اختيارخ شستا-1000-1404/01/20,3590249.8237661626,-60370.97198111401
اختيارخ ذوب-700-1403/11/24,4154814.169546232,-101703.75459907365
اختيارخ شستا-950-1403/11/10,3925726.9033509023,-73411.66041813555
اختيارخ شستا-1250-1403/11/10,3938439.803735014,-102069.41600031342
اختيارخ شستا-1050-1403/12/08,3785260.6168052196,-64467.315718073594
اختيارخ شستا-1150-1403/12/08,3780924.472346942,-92447.80798547767
اختيارخ شستا-1200-1404/01/20,3401039.4176817574,-102977.81870466271
اختيارخ شستا-1400-1404/01/20,3828131.303375019,-102255.87768214081
اختيارخ شتاب-7500-1403/12/15,122148.3371523344,257219.87615363637
اختيارخ خساپا-2200-1403/09/21,4233197.888115585,-98163.4826608092
اختيارخ خساپا-2400-1403/09/21,4210854.569163626,-98293.44108110329
اختيارخ خساپا-3000-1403/09/21,4157642.5928595113,-101698.98083635715
اختيارخ شتاب-11000-1403/12/15,572616.33388831,-107758.87719776614
اختيارخ خساپا-2800-1403/11/24,2835354.8009701176,-103934.03158906709
اختيارخ خساپا-1900-1403/12/22,2674835.1027727807,1172.4994121907512
اختيارخ شستا-750-1403/10/12,4052326.222561855,-88206.32445967918
اختيارخ شستا-550-1403/11/10,3988878.52448793,-73439.07247866268
اختيارخ شستا-650-1403/11/10,3043774.515216794,-75606.93590958619
اختيارخ خساپا-1900-1403/10/26,3590068.6475797533,-54948.64408400327
اختيارخ خساپا-2600-1403/11/24,3116992.136574188,-46536.03117968828
اختيارخ شستا-950-1403/10/12,4088429.976234561,-88311.40255450478
اختيارخ شستا-550-1403/12/08,3859383.072800634,-61021.10147731253
اختيارخ شستا-600-1404/01/20,3588078.7426133375,-45227.4927906325
اختيارخ شستا-900-1404/01/20,3580111.03558407,-48535.98899255457
اختيارخ ذوب-200-1403/11/24,4037174.660910664,-89479.12618179014
اختيارخ ذوب-400-1403/11/24,4022004.4425062914,-90232.18560292054
اختيارخ ذوب-800-1403/11/24,4209968.419840359,-101610.78627282652
اختيارخ شتاب-11000-1403/10/12,2172089.5878762566,-105055.19165804291
اختيارخ شتاب-5500-1403/11/17,1431895.3819425884,162244.97391823714
اختيارخ شتاب-6500-1403/11/17,1167262.6313645304,166823.00966856407
اختيارخ شتاب-9000-1403/11/17,1442193.8903596327,155593.0389120423
اختيارخ شتاب-11000-1403/11/17,1350432.68198027,-106444.08609963497
اختيارخ شتاب-10000-1403/12/15,-205200.01416184474,-109073.66795785943
اختيارخ شستا-1350-1403/11/10,4003493.534650002,-101959.45293145221
اختيارخ شستا-1450-1403/11/10,3870557.6496600667,-102184.16883245493
اختيارخ شستا-1550-1403/11/10,4122287.3041442097,-101758.65268888367
اختيارخ شستا-1650-1403/11/10,3966724.0344980913,-102021.64106625413
اختيارخ خساپا-2400-1403/12/22,3052151.5356028043,-17748.002256509237
اختيارخ شستا-550-1403/10/12,3833837.333925378,-88926.40056616445
اختيارخ شستا-650-1403/10/12,4101611.6565602385,-88254.04869991013
اختيارخ شستا-1350-1403/10/12,4125115.7272911444,-101753.87103019655
اختيارخ شستا-1450-1403/10/12,4178855.765887301,-101663.0553721196
اختيارخ شستا-1550-1403/10/12,4218453.689169918,-101596.28437647606
اختيارخ شستا-850-1403/12/08,3806791.3246063627,-60991.80359978297
اختيارخ شستا-1250-1403/12/08,3874800.2843259303,-102176.98925753067
اختيارخ شستا-700-1404/01/20,3586608.9627177175,-45337.86905217242
اختيارخ شستا-1700-1404/02/10,4037434.611528681,-101902.07982447998
اختيارخ ذوب-300-1403/11/24,4045729.8663479695,-89423.3520553064
اختيارخ ذوب-600-1403/11/24,4125115.7271635663,-101753.87767458624
اختيارخ اهرم-18000-1403/09/28,2018137.0942466222,-4204.693288652139
اختيارخ اهرم-20000-1403/09/28,1946731.2595174103,-1633.3577453658218
اختيارخ اهرم-18000-1403/11/24,-4771180.502019069,498682.09181564196
اختيارخ اهرم-20000-1403/11/24,-3653257.3812840786,385779.8685341129
اختيارخ اهرم-28000-1404/01/27,-137171587.852208,-340596.5329061798
اختيارخ بيدار-8000-1403/10/19,1629960.2966428334,59242.4998357576
اختيارخ وبملت-3000-1403/09/28,4129358.362007346,-101746.7973787087
اختيارخ وبصادر-1200-1403/09/21,3454010.4971364755,-100537.26871236581
اختيارخ وبصادر-1200-1403/11/17,3458319.686416706,-51354.19180569056
اختيارخ وبصادر-1600-1403/11/17,3602133.863708578,-51350.341862487854
